A1;;GND;;GND
A2;;MGTAVTT;;MGTAVTT
A3;;MGTPRXN1_216;;RTM_FPGA_GTP_Rx1_N
A4;;MGTPRXP1_216;;RTM_FPGA_GTP_Rx1_P
A5;;GND_3;;GND
A6;;MGTRREF_216;;$1N2229
A7;;GND_4;;GND
A8;;GND_5;;GND
A9;;IO_L3N_T0_DQS_AD1N_15;;CAL_ADC_MCLK1
A10;;IO_L5N_T0_AD9N_15;;CAL_ADC_CSn
A11;;GND_1;;GND
A12;;IO_L7N_T1_AD2N_15;;MEZZ3_IO3
A13;;IO_L8P_T1_AD10P_15;;MEZZ3_IO4
A14;;IO_L8N_T1_AD10N_15;;MEZZ3_IO5
A15;;IO_L10N_T1_AD11N_15;;MEZZ3_IO9
A16;;VCCO_15;;P3V3F
A17;;IO_L15N_T2_DQS_ADV_B_15;;HMC_SPI_SCLK
A18;;GND_2;;GND
B1;;MGTPTXN3_216;;RTM_FPGA_GTP_Tx3C_N
B2;;MGTPTXP3_216;;RTM_FPGA_GTP_Tx3C_P
B3;;GND_7;;GND
B4;;MGTAVCC;;MGTAVCC
B5;;MGTREFCLK1N_216;;CDR_CLK_CLEAN1_N
B6;;MGTREFCLK1P_216;;CDR_CLK_CLEAN1_P
B7;;GND_8;;GND
B8;;GND_9;;GND
B9;;IO_L3P_T0_DQS_AD1P_15;;CAL_ADC_MCLK2
B10;;IO_L5P_T0_AD9P_15;;CAL_ADC_SYNCn
B11;;IO_L4N_T0_15;;CAL_ADC_DIN
B12;;IO_L7P_T1_AD2P_15;;MEZZ3_IO2
B13;;VCCO_15_1;;P3V3F
B14;;IO_L10P_T1_AD11P_15;;MEZZ3_IO8
B15;;IO_L9N_T1_DQS_AD3N_15;;MEZZ3_IO7
B16;;IO_L15P_T2_DQS_15;;HMC_SPI_SDATA
B17;;IO_L16N_T2_A27_15;;USR_UART_N
B18;;GND_6;;GND
C1;;MGTAVTT_1;;MGTAVTT
C2;;GND_11;;GND
C3;;MGTPRXN2_216;;RTM_FPGA_GTP_Rx2_N
C4;;MGTPRXP2_216;;RTM_FPGA_GTP_Rx2_P
C5;;MGTAVCC_1;;MGTAVCC
C6;;GND_12;;GND
C7;;GND_13;;GND
C8;;IO_L1N_T0_AD0N_15;;HMC830_SPI_SEN
C9;;IO_L2N_T0_AD8N_15;;CAL_ADC_SCLK
C10;;VCCO_15_2;;P3V3F
C11;;IO_L4P_T0_15;;CAL_ADC_DOUT
C12;;IO_L6N_T0_VREF_15;;MEZZ3_IO1
C13;;IO_L11N_T1_SRCC_15;;MEZZ3_IO11
C14;;IO_L9P_T1_DQS_AD3P_15;;MEZZ3_IO6
C15;;GND_10;;GND
C16;;IO_L16P_T2_A28_15;;USR_UART_P
C17;;IO_L18P_T2_A24_15;;CLK_MEZZ_IO1
C18;;IO_L18N_T2_A23_15;;CLK_MEZZ_IO2
D1;;MGTPTXN2_216;;RTM_FPGA_GTP_Tx2C_N
D2;;MGTPTXP2_216;;RTM_FPGA_GTP_Tx2C_P
D3;;GND_15;;GND
D4;;GND_16;;GND
D5;;MGTREFCLK0N_216;;RTM_FPGA_GTP_CLKC_P
D6;;MGTREFCLK0P_216;;RTM_FPGA_GTP_CLKC_N
D7;;GND_17;;GND
D8;;IO_L1P_T0_AD0P_15;;HMC_SPI_GPIO
D9;;IO_L2P_T0_AD8P_15;;HMC_SPI_SDO
D10;;IO_0_15;;SI5324_INT_ALM
D11;;IO_L6P_T0_15;;MEZZ3_IO0
D12;;GND_14;;GND
D13;;IO_L11P_T1_SRCC_15;;MEZZ3_IO10
D14;;IO_L12N_T1_MRCC_15;;MEZZ3_IO13
D15;;IO_L13N_T2_MRCC_15;;MEZZ3_IO14
D16;;IO_L14N_T2_SRCC_15;;HMC7043_SLEN
D17;;VCCO_15_3;;P3V3F
D18;;IO_L17N_T2_A25_15;;CLK_MEZZ_IO0
E1;;MGTAVTT_2;;MGTAVTT
E2;;GND_18;;GND
E3;;MGTPRXN0_216;;RTM_FPGA_GTP_Rx0_N
E4;;MGTPRXP0_216;;RTM_FPGA_GTP_Rx0_P
E5;;MGTAVCC_2;;MGTAVCC
E6;;GND_19;;GND
E7;;GND_20;;GND
E8;;CCLK_0;;FPGA_CFG_CCLK
E9;;GND_21;;GND
E10;;VCCO_0;;P3V3F
E11;;VCCBATT_0;;P1V8F
E12;;CFGBVS_0;;$1N2304
E13;;IO_L12P_T1_MRCC_15;;MEZZ3_IO12
E14;;VCCO_15_4;;P3V3F
